Genome ID,Genome Name,Organism Name,NCBI Taxon ID,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Other Typing,Culture Collection,Type Strain,Completion Date,Publication,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,RefSeq Accessions,Sequencing Centers,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosomes,Plasmids,Contigs,Genome Length,GC Content,PATRIC CDS,RefSeq CDS,Isolation Site,Isolation Source,Isolation Comments,Collection Date,Isolation Country,Geographic Location,Latitude,Longitude,Altitude,Depth,Other Environmental,Host Name,Host Gender,Host Age,Host Health,Body Sample Site,Body Sample Subsite,Other Clinical,AntiMicrobial Resistance,AntiMicrobial Resistance Evidence,Gram Stain,Cell Shape,Motility,Sporulation,Temperature Range,Optimal Temperature,Salinity,Oxygen Requirement,Habitat,Disease,Comments,Additional Metadata,Coarse Consistency,Fine Consistency,Checkm Completeness,Checkm Contamination,Genome Quality Flags,Genome Quality,Date Inserted,Date Modified
1447716.4,Bifidobacterium kashiwanohense PV20-2,,1447716,Complete,PV20-2,,,pathovar 20-2,,,,,2014-12-09T00:00:00Z,-,PRJNA234365,SAMN03253090,GCA_000800455.1,,CP007456.1,NZ_CP007456.1,ETH Zurich,,PacBio,220x,SMRT-Analysis software v. 2.1 using,1,,1,2370978,56.12,2055,1875,,infant feces,,22-Mar-10,Kenya,Kenya,,,,,,"Human, Homo sapiens",,,,,,,,,Positive,,,No,,,,,,,comparative genome analysis of bifidobacteria,,99.6,99.4,100,1.7,,Good,2015-03-12T13:45:26.899Z,2015-03-16T03:17:09.594Z
1679.1,Bifidobacterium longum subsp. longum strain CCUG30698,,1679,Complete,CCUG30698,,,,,,CCUG:30698,,2015-11-19T00:00:00Z,26489930,PRJNA287222,SAMN03785819,GCF_001446275.1,,CP011965,NZ_CP011965.1,University College Cork,,PacBio SMRT,51,PacBio SMRTPortal analysis platform v.,1,,1,2458004,60.22,2172,1982,,,,19-Oct-92,Sweden,Sweden,,,,,env_biome:gut,"Human, Homo sapiens",,,,,,,,,,,,,,C,,,,,The sequencing and comparative analysis of Bifidobacterium longum,,99.6,99.3,100,,,Good,2016-01-17T17:48:43.325Z,2016-01-17T17:48:43.325Z
1679.26,Bifidobacterium longum subsp. longum strain AH1206,,1679,Complete,AH1206,,,,,,,,2016-09-14T00:00:00Z,,PRJNA316119,SAMN04576213,GCF_001725985.1,,CP016019,NZ_CP016019.1,University College Cork,,Roche 454 FLX Titanium,30x,Newbler v. 2.6,1,,1,2421287,60.19,2157,2056,,healthy baby,isolated from a healthy baby,2010/1/1,Ireland,Ireland,,,,,env_biome:infant gut,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Genome sequencing of Bifidobacterium longum subsp. longum AH1206, isolated from a healthy baby.",,99.8,99.6,100,,,Good,2016-11-16T07:12:42.533Z,2016-11-16T07:12:42.533Z
1679.51,Bifidobacterium longum subsp. longum strain BORI,,1679,Complete,BORI,,,,,,,,2018-07-26T00:00:00Z,29747442,PRJNA481853,SAMN09691177,GCA_003342655.1,,CP031133,,"BIFIDO Co., LTD",,PacBio,386.51x,SMRT analysis v. 2.3,1,,1,2311020,59.93864,1976,1915,,Korean infant,isolated from the feces of healthy Korean infants and has been characterized to have inhibitory effect against Rotavirus infection of children and has been commercially used as food ingredients since 2000,1998/10/1,South Korea,South Korea,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,Bifidobacterium longum BORI was isolated from the feces of healthy Korean infants and has been characterized to have inhibitory effect against Rotavirus infection of children and has been commercially used as food ingredients since 2000.,sample_type:Bacteria,99.9,99.4,100,1.4,,Good,2018-09-30T00:50:55.025Z,2018-09-30T00:50:55.025Z
1679.9,Bifidobacterium longum subsp. longum strain NCIMB8809,,1679,Complete,NCIMB8809,,,,,,NCIM:B8809,,2015-11-19T00:00:00Z,26489930,PRJNA287223,SAMN03785818,GCF_001446255.1,,CP011964,NZ_CP011964.1,University College Cork,,PacBio SMRT,84,PacBio SMRTPortal v. 2.1.1,1,,1,2340989,60.11,2007,1856,,stool sample,,1-Oct-56,United Kingdom,United Kingdom: England,,,,,env_biome:gut,"Human, Homo sapiens",,,,,,,,,,,,,,C,,,,,The sequencing and comparative analysis of Bifidobacterium longum,,99.8,99.2,100,2.7,,Good,2016-01-17T17:48:43.020Z,2016-01-17T17:48:43.020Z
1680.104,Bifidobacterium adolescentis strain 1-11,,1680,Complete,1ÔÂ11ÈÕ,,,,,,,,2018-04-03T00:00:00Z,,PRJNA445212,SAMN08770276,GCA_003030905.1,,CP028341,,China Agricultural University,,Illumina HiSeq,200.0x,SOAPdenovo v. 2.04,1,,1,2192428,59.58376,1904,1793,,infant faece,,14-Mar,China,China,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,Bifidobacterium adolescentis 1-11 could produce exopolysaccharides,sample_type:cell culture,99.8,99.8,100,,,Good,2018-05-30T23:01:16.224Z,2018-05-30T23:01:16.224Z
1680.142,Bifidobacterium adolescentis strain 6,,1680,Complete,6,,,,,,,,2018-08-28T00:00:00Z,,PRJNA399823,SAMN07551488,GCA_003429385.1,,CP023005,,Korea Food Research Institute,,PacBio,125.0x,HGAP v. 3.0,1,,1,2201808,59.287323,1874,1770,,Korean adult feces,,2017/4/4,South Korea,South Korea: Bundang,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,6 strain was isolated from Korean adult feces,sample_type:cell culture,99.7,99.6,100,0.3,,Good,2018-10-01T23:42:34.303Z,2018-10-01T23:42:34.303Z
1680.1909,Bifidobacterium adolescentis strain ZJ2,,1680,Complete,ZJ2,,,,,,,,2020-01-07T00:00:00Z,,PRJNA565810,SAMN12769615,GCA_009832825.1,,CP047129,,University of Science and Technology of China,,PacBio RSII,570.0x,FALCON v. v0.3.0,1,,1,2401766,59.907127,2104,1982,,,,19-Aug,,China,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,Bifidobacterium adolescentis ZJ2,sample_type:cell culture,99,98.7,,,,Good,2020-02-07T13:50:54.571Z,2020-02-07T13:50:54.571Z
1680.4,Bifidobacterium adolescentis strain 22L,,1680,Complete,22L,,,,,,,,2014-08-05T00:00:00Z,25063659,PRJNA240293,SAMN02673695,GCA_000737885.1,,CP007443.1,NZ_CP007443.1,University of Parma,,Ion Torrent,229x,Mira v. 4.0,1,,1,2203222,59.3,1820,1725,,milk,,2010,Italy,Italy: Parma,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,Genome sequencing of Bifidobacterium adolescentis 22L,,99.7,99.7,100,,,Good,2014-12-08T23:13:25.609Z,2015-03-16T03:17:09.594Z
1680.5,Bifidobacterium adolescentis strain BBMN23,,1680,Complete,BB23,,,,,,,,2015-01-14T00:00:00Z,,PRJNA271241,SAMN03273368,GCF_000817995.1,,CP010437,NZ_CP010437.1,China Agricultural University,,PacBio RS,100x,HS HGAP Assembly v. 2,1,,1,2173720,59.29,1836,1823,,human feces,,30-Oct-06,China,"China: village Bama, guangxi",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,The goal of this project is to obtain the complete genome sequence of Bifidobacterium adolescentis BBMN23.,isolate:human feces;sample_type:cell culture,99.9,99.9,100,,,Good,2016-01-17T15:42:02.185Z,2016-01-17T15:42:02.185Z
1681.114,Bifidobacterium bifidum strain S6,,1681,Complete,S6,,,,,,,,2018-08-15T00:00:00Z,,PRJNA397825,SAMN07484235,GCA_003390735.1,,CP022723,,Korea Food Research Institute,,PacBio,120.0x,HGAP v. 3.0,1,,1,2311342,62.716076,2040,1907,,adult feces,,2017/4/4,South Korea,South Korea: Bundang,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,S6 strain was isolated from Korean adult feces,sample_type:cell culture,99.3,98.9,100,1.9,,Good,2018-09-30T16:44:47.536Z,2018-09-30T16:44:47.536Z
1681.137,Bifidobacterium bifidum strain TMC 3115,,1681,Complete,TMC 3115,,,,,,,,2017-10-03T00:00:00Z,,PRJDB5666,SAMD00078313,GCA_003573895.1,,AP018132,,"Graduate School of Biostudies, Kyoto University",,PacBio RSII,266x,SMRT Analysis v. 2.3.0,1,,1,2178894,62.787773,1863,1876,,infant feces,isolated from infant feces,,,,,,,,env_biome:human infant feces,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Bifidobacterium bifidum TMC 3115 was isolated from infant feces. As a symbiotic species in breast-fed infants' gut, Bifidobacterium bifidum is characterized by its unique properties in the ability to degrade complex carbohydrates such as human milk oligosaccharides and mucin glycans. Comprehension from the genome analysis of B. bifidum strain may be useful for the unveiling mechanisms of symbiosis between Bifidobacteria and human.","biomaterial_provider:Takanashi milk products Co., Ltd.",99.1,98.4,99.7,2.5,,Good,2018-10-03T15:36:09.170Z,2018-10-03T15:36:09.170Z
1681.42,Bifidobacterium bifidum strain BF3,,1681,Complete,BF3,,,,,,,,2015-09-14T00:00:00Z,,PRJNA270902,SAMN03271680,GCF_001281345.1,,CP010412,NZ_CP010412.1,Yonsei University,,PacBio,168.01x,SMRT pipe v. Aug 2014,1,,1,2210370,62.65,1882,1887,,feces,,2001/10/25,South Korea,Korea,,,,,env_biome:infant feces,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,Genome sequence of Bifidobacterium bifidum BF3,,99.3,99,99.7,0.3,,Good,2016-01-17T17:06:10.695Z,2016-01-17T17:06:10.695Z
1681.94,Bifidobacterium bifidum strain PRI 1,,1681,Complete,PRI 1,,,,,,,,2017-12-20T00:00:00Z,,PRJNA257684,SAMN06140833,GCA_002845845.1,,CP018757,,Institute for Basic Science (IBS) and Pohang University of Science and Technology (POSTECH),,PacBio,168.0x,PACBIO SMRT analysis v. 2.3,1,,1,2243572,62.74,1919,,,,,2009/4/1,South Korea,"South Korea: Gyeonggido, Giheung",,,,,,"Human, Homo sapiens",,,,,,,,,Positive,,,,,,,,,,"This strain could act nutraceutical immunomodulatory for hyper-immune disorders such as rheumatoid arthritis, atopic dermatitis and inflammatory bowel diseases.",sample_type:Bacteria,99.2,99,100,,,Good,2018-01-01T06:36:28.522Z,2018-01-01T06:36:28.522Z
1682.24,Bifidobacterium longum subsp. infantis strain BT1,,1682,Complete,BT1,,,,,,,,2015-09-14T00:00:00Z,,PRJNA270905,SAMN03271683,GCA_001281305.1,,CP010411,NZ_CP010411.1,Yonsei University,,PacBio,130.97x,SMRT pipe v. Aug 2014,1,,1,2578115,59.39,2359,2319,,feces,,2001/3/18,South Korea,Korea,,,,,env_biome:infant feces,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,Genome sequence of Bifidobacterium longum subsp. infantis,,99.9,99.9,100,,,Good,2016-01-17T17:06:09.991Z,2016-01-17T17:06:09.991Z
1682.48,Bifidobacterium longum subsp. infantis strain NCTC11817,,1682,Complete,NCTC11817,not available: to be reported later,,,,,NCTC:11817,,2018-12-19T00:00:00Z,,PRJEB6403,SAMEA44530168,GCA_900637215.1,,LR134354,,SC,,,,,1,,1,2832748,59.86346,2744,2543,,intestine,,1900/1985,,,,,,,,"Human, Homo sapiens",,,,,,host_health_state:not available: to be reported later,,,,,,,,,,,,,http://www.sanger.ac.uk/resources/downloads/bacteria/nctc/,,99.7,99.5,,,,Good,2019-02-01T13:53:49.885Z,2019-02-01T13:53:49.885Z
1685.1,Bifidobacterium breve strain BR3,,1685,Complete,BR3,,,,,,,,2015-09-14T00:00:00Z,,PRJNA270903,SAMN03271681,GCA_001281425.1,,CP010413,"NZ_CP010413.1,NZ_CP010414.1",Yonsei University,,PacBio,115.32x,SMRT pipe v. Aug 2014,1,1,2,2426006,59.09,2182,2168,,,,2001/8/13,South Korea,Korea,,,,,env_biome:infant feces,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,Genome sequence of Bifidobacterium breve BR3,,99.7,99.5,100,,,Good,2016-01-17T17:06:12.091Z,2016-01-17T17:06:12.091Z
1685.191,Bifidobacterium breve strain FDAARGOS_561 strain Not applicable,,1685,Complete,Not applicable,,,,,,FDA:FDAARGOS_561,,2018-11-21T00:00:00Z,,PRJNA231221,SAMN10163185,GCA_003813065.1,,CP033841,,US Food and Drug Administration,,Pacbio; Illumina,29.29x,Canu v. 1.2,1,,1,2275646,58.887543,2060,2004,,,,1963,,,,,,,,"Human, Homo sapiens",,,,,,host_description:Not applicable,,,,,,,,,,,,,"In May 2014, the FDA and collaborators established a publicly available dAtabase for Reference Grade micrObial Sequences called FDA-ARGOS. With funding support from FDA¡¯s Office of Counterterrorism and Emerging Threats (OCET) and DoD, the FDA-ARGOS team are initially collecting and sequencing 2000 microbes that include biothreat microorganisms, common clinical pathogens and closely related species. Currently, FDA-ARGOS microbial genomes are generated in 3 phases. Generally:  Phase 1 entails collection of a previously identified microbe and nucleic acid extraction. Phase 2, the microbial nucleic acids are sequenced and de novo assembled using Illumina and PacBio sequencing platforms at the Institute for Genome Sciences at the University of Maryland (UMD-IGS). Phase 3, the assembled genomes are vetted by an ID-NGS subject matter expert working group consisting of FDA personnel and collaborators and the data are deposited in NCBI databases.   The FDA-ARGOS genomes meet the quality metrics for reference-grade genomes for regulatory use. FDA-ARGOS reference genomes have been de novo assembled with high depth of base coverage and placed within a pre-established phylogenetic tree. Each microbial isolate in the database is covered at a minimum of 20X over 95 percent of the assembled core genome. Furthermore, sample specific metadata, raw reads, assemblies, annotation and details of the bioinformatics pipeline are available.",collected_by:USAMRIID,99.5,99.1,,,,Good,2018-11-30T03:13:53.252Z,2018-11-30T03:13:53.252Z
1685.199,Bifidobacterium breve strain lw01,,1685,Complete,lw01,,,,,,,,2018-12-04T00:00:00Z,,PRJNA507053,SAMN10484345,GCA_003860285.1,,CP034192,,Peking University,,Illumina HiSeq,200.0x,SOAPdenovo v. 2.04,1,,1,2313172,58.766838,2097,2014,,infant fecal,,10-Oct-17,China,China,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,Detection of extracellular polysaccharide production by phenol-sulfuric acid method showed that this strain could produce extracellular polysaccharide. It can be used in the development of starter or probiotics.,sample_type:mixed culture,99.6,99.2,,,,Good,2019-01-30T09:53:32.506Z,2019-01-30T09:53:32.506Z
1685.2,Bifidobacterium breve strain NCTC11815,,1685,Complete,NCTC11815,not available: to be reported later,,,,,NCTC:11815,,2018-12-19T00:00:00Z,,PRJEB6403,SAMEA4076721,GCA_900637145.1,,LR134348,,SC,,,,,1,,1,2275664,58.887516,2008,1924,,intestine,,1900/1985,,,,,,,,"Human, Homo sapiens",,,,,,host_health_state:not available: to be reported later,,,,,,,,,,,,,http://www.sanger.ac.uk/resources/downloads/bacteria/nctc/,,99.4,99.1,,,,Good,2019-02-01T13:49:24.983Z,2019-02-01T13:49:24.983Z
1685.52,Bifidobacterium breve strain IDCC4401,,1685,Complete,IDCC4401,,,,,,,,2019-10-31T00:00:00Z,,PRJNA579060,SAMN13091495,GCA_009429085.1,,CP045532,,"Research Laboratories, Ildong Pharmaceutical",,PacBio; Illumina MiSeq,422.63x,HGAP v. 3.0,1,,1,2452339,58.701782,2224,2118,,Infant feces,,19-Oct,South Korea,South Korea: Hwaseong,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,Genome sequence of Bifidobacterium breve IDCC4401,sample_type:Single cell,99.9,99.8,,,,Good,2019-11-25T11:50:25.498Z,2019-11-25T11:50:25.498Z
1685.526,Bifidobacterium breve strain JR01,,1685,Complete,JR01,,,,,,,,2020-01-27T00:00:00Z,,PRJNA489428,SAMN09977286,GCA_009931415.1,,CP040931,,University of Florida,,Oxford Nanopore GridION,200.0x,Canu v. 1.8,1,,1,2304912,58.870102,2099,2005,,stool,,1-Feb-00,,Sweden,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,Genome sequencing and assembly of isolates from the ABIS cohort,sample_type:Bacterial culture,98.8,97.7,,,,Good,2020-02-02T11:47:11.442Z,2020-02-02T11:47:11.442Z
1685.568,Bifidobacterium breve strain JTL,,1685,Complete,JTL,,,,,,,,2020-06-04T00:00:00Z,,PRJNA635210,SAMN15028705,GCA_013267755.1,,CP053940,,KHEPRIOME,,PacBio,98.0x,Celera Assembler v. Canu ver. 1.7,1,,1,2289549,58.525894,1947,,,infant feces,,24-Aug-17,,South Korea,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,development of novel potentially probiotic,sample_type:feces,98.7,98.2,,,,Good,2020-07-01T03:49:05.289Z,2020-07-01T03:49:05.289Z
1685.73,Bifidobacterium breve strain DRBB26,,1685,Complete,DRBB26,,,,,,,,2017-12-13T00:00:00Z,,PRJNA384072,SAMN06827973,GCA_002838225.1,,CP021390,,University College Cork,,PacBio,335.0x,SMRT Analysis v. Jan 2016,1,,1,2396387,58.55,2102,1978,,infant,,2014/10/1,Netherlands,Netherlands,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,Bifidobacterium breve infant isolate,sample_type:Genome,99.9,99.7,100,,,Good,2018-01-01T05:22:10.097Z,2018-01-01T05:22:10.097Z
1685.74,Bifidobacterium breve strain NRBB01,,1685,Complete,NRBB01,,,,,,,,2017-12-13T00:00:00Z,,PRJNA384038,SAMN06827008,GCA_002838245.1,,CP021384,,University College Cork,,PacBio,536.0x,SMRT Analysis v. Jan-2016,1,,1,2269404,58.89,2020,1902,,,,2014/10/1,Netherlands,Netherlands,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,Bifidobacterium breve infant isolate,sample_type:Genome,99.8,99.5,100,0.6,,Good,2018-01-01T05:21:31.047Z,2018-01-01T05:21:31.047Z
1685.75,Bifidobacterium breve strain NRBB02,,1685,Complete,NRBB02,,,,,,,,2017-12-13T00:00:00Z,,PRJNA384042,SAMN06827019,GCA_002838265.1,,CP021385,,University College Cork,,PacBio,85.0x,SMRT Analysis v. Jan-2016,1,,1,2289884,58.59,2008,1872,,infant,,2014/10/1,Netherlands,Netherlands,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,Bifidobacterium breve infant isolate,sample_type:Genome,99.9,99.6,100,,,Good,2018-01-01T05:22:07.009Z,2018-01-01T05:22:07.009Z
1685.76,Bifidobacterium breve strain NRBB04,,1685,Complete,NRBB04,,,,,,,,2017-12-13T00:00:00Z,,PRJNA384043,SAMN06827050,GCA_002838285.1,,CP021386,,University College Cork,,PacBio,168.0x,SMRT Analysis v. Jan 2016,1,,1,2324647,58.71,2017,1873,,infant,,2014/10/1,Netherlands,Netherlands,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,Bifidobacterium breve infant isolate,sample_type:Genome,99.9,99.3,100,0.1,,Good,2018-01-01T05:21:49.092Z,2018-01-01T05:21:49.092Z
1685.77,Bifidobacterium breve strain NRBB11,,1685,Complete,NRBB11,,,,,,,,2017-12-13T00:00:00Z,,PRJNA384046,SAMN06827081,GCA_002838305.1,,CP021388,,University College Cork,,PacBio,397.0x,SMRT Analysis v. Jan 2016,1,,1,2377562,58.72,2043,1916,,infant,,2014/10/1,Netherlands,Netherlands,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,Bifidobacterium breve infant isolate,sample_type:Genome,99.8,99.6,100,,,Good,2018-01-01T05:22:31.501Z,2018-01-01T05:22:31.501Z
